,SYMBOL,BID,BIDSIZ,OFR,OFRSIZ,PRICE,SIZE
2523,KO,62.01,11,62.02,19,62.02,100.0
2524,KO,62.01,38,62.03,15,62.02,13.0
2525,KO,62.02,1,62.03,28,62.02,600.0
2526,KO,62.01,10,62.02,24,62.02,100.0
2527,KO,62.01,11,62.02,15,62.02,100.0
2528,KO,62.01,11,62.02,3,62.02,900.0
2529,KO,62.01,12,62.02,9,62.02,100.0
2530,KO,62.03,13,62.04,19,62.03,2.0
2531,KO,62.03,3,62.04,27,62.03,72.0
2532,KO,62.03,2,62.04,27,62.03,99.0
2533,KO,62.02,7,62.03,17,62.03,1.0
2534,KO,62.02,1,62.03,44,62.02,100.0
2535,KO,62.02,1,62.03,40,62.02,100.0
2536,KO,62.02,1,62.03,34,62.02,89.0
2537,KO,62.02,1,62.03,33,62.02,2.0
2538,KO,62.0,10,62.01,24,62.01,100.0
2539,KO,62.01,9,62.02,13,62.01,401.0
2540,KO,62.01,14,62.02,7,62.02,100.0
2541,KO,62.01,11,62.02,13,62.02,85.0
2542,KO,62.0,11,62.01,19,62.01,700.0
2543,KO,62.0,7,62.01,33,62.0,56.0
2544,KO,61.99,8,62.0,29,62.0,633.0
2545,KO,61.97,10,61.98,5,61.98,225.0
2546,KO,61.98,3,61.99,8,61.98,100.0
2547,KO,61.98,1,61.99,13,61.98,1900.0
2548,KO,61.97,9,61.99,11,61.98,100.0
2549,KO,61.97,9,61.99,8,61.98,200.0
2550,KO,61.97,9,61.99,7,61.985,100.0
2551,KO,61.97,2,61.98,10,61.97,911.0
2552,KO,61.97,7,61.98,6,61.97,400.0
2553,KO,61.97,5,61.98,8,61.97,75.0
2554,KO,61.97,23,61.99,16,61.98,600.0
2555,KO,61.97,3,61.99,8,61.97,1825.0
2556,KO,61.98,5,61.99,7,61.98,200.0
2557,KO,61.98,32,62.0,20,61.99,200.0
2558,KO,61.98,30,61.99,3,61.99,100.0
2559,KO,61.98,25,61.99,2,61.99,100.0
2560,KO,61.98,9,61.99,4,61.99,9.0
2561,KO,61.97,11,61.98,27,61.98,300.0
2562,KO,61.97,11,61.98,33,61.98,100.0
2563,KO,61.97,12,61.98,4,61.98,361.0
2564,KO,61.97,13,61.98,22,61.98,21.0
2565,KO,61.97,26,61.99,16,61.98,379.0
2566,KO,61.97,14,61.99,30,61.98,73.0
2567,KO,61.97,14,61.99,30,61.98,27.0
